system_id,ligand_ccd_code,cluster,ligand_molecular_weight,ligand_instance_chain,ligand_num_rot_bonds,ligand_tpsa,ligand_num_unique_interactions,ligand_num_heavy_atoms,ligand_is_proper,entry_pdb_id,entry_keywords,ligand_num_rings,ligand_num_pocket_residues,ligand_smiles,num_training_systems_with_similar_ccds,group_key,query_system,target_system,pli_qcov,pli_unique_qcov,pocket_fident,pocket_fident_qcov,pocket_lddt,pocket_lddt_qcov,pocket_qcov,protein_fident_max,protein_fident_qcov_max,protein_fident_qcov_weighted_max,protein_fident_qcov_weighted_sum,protein_fident_weighted_max,protein_fident_weighted_sum,protein_lddt_max,protein_lddt_qcov_max,protein_lddt_qcov_weighted_max,protein_lddt_qcov_weighted_sum,protein_lddt_weighted_max,protein_lddt_weighted_sum,protein_qcov_max,protein_qcov_weighted_max,protein_qcov_weighted_sum,protein_seqsim_max,protein_seqsim_qcov_max,protein_seqsim_qcov_weighted_max,protein_seqsim_qcov_weighted_sum,protein_seqsim_weighted_max,protein_seqsim_weighted_sum,query_ligand_instance_chain,color,shape,sucos_protein,sucos_shape,sucos_protein_pocket_qcov,sucos_protein_pocket_lddt_qcov,sucos_shape_pocket_qcov,sucos_shape_pocket_lddt_qcov,shape_pocket_qcov,shape_pocket_lddt_qcov,color_pocket_qcov,color_pocket_lddt_qcov,target_release_date,release_date_before_cutoff,query_system_pli_qcov,target_system_pli_qcov,pli_qcov_pli_qcov,pli_unique_qcov_pli_qcov,pocket_fident_pli_qcov,pocket_fident_qcov_pli_qcov,pocket_lddt_pli_qcov,pocket_lddt_qcov_pli_qcov,pocket_qcov_pli_qcov,protein_fident_max_pli_qcov,protein_fident_qcov_max_pli_qcov,protein_fident_qcov_weighted_max_pli_qcov,protein_fident_qcov_weighted_sum_pli_qcov,protein_fident_weighted_max_pli_qcov,protein_fident_weighted_sum_pli_qcov,protein_lddt_max_pli_qcov,protein_lddt_qcov_max_pli_qcov,protein_lddt_qcov_weighted_max_pli_qcov,protein_lddt_qcov_weighted_sum_pli_qcov,protein_lddt_weighted_max_pli_qcov,protein_lddt_weighted_sum_pli_qcov,protein_qcov_max_pli_qcov,protein_qcov_weighted_max_pli_qcov,protein_qcov_weighted_sum_pli_qcov,protein_seqsim_max_pli_qcov,protein_seqsim_qcov_max_pli_qcov,protein_seqsim_qcov_weighted_max_pli_qcov,protein_seqsim_qcov_weighted_sum_pli_qcov,protein_seqsim_weighted_max_pli_qcov,protein_seqsim_weighted_sum_pli_qcov,query_ligand_instance_chain_pli_qcov,color_pli_qcov,shape_pli_qcov,sucos_protein_pli_qcov,sucos_shape_pli_qcov,tanimoto_pli_qcov,sucos_protein_pocket_qcov_pli_qcov,sucos_protein_pocket_lddt_qcov_pli_qcov,sucos_shape_pocket_qcov_pli_qcov,sucos_shape_pocket_lddt_qcov_pli_qcov,shape_pocket_qcov_pli_qcov,shape_pocket_lddt_qcov_pli_qcov,color_pocket_qcov_pli_qcov,color_pocket_lddt_qcov_pli_qcov,target_release_date_pli_qcov,release_date_before_cutoff_pli_qcov,num_ligand_chains,num_protein_chains,num_proper_ligand_chains,release_date,sucos_shape_pocket_qcov_2023,topological_tanimoto,morgan_tanimoto,pocket_qcov_alone
8p0e__1__1.A__1.C,APR,c43,559.0716736759997,1.C,9,291.52,18,36,True,8p0e,HYDROLASE,4,41,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,19665,8p0e__1__1.A__1.C__1.C,8p0e__1__1.A__1.C,7kqp__1__1.A__1.C,56.0,61.0,49.0,49.0,74.0,70.0,90.0,24.0,23.0,23.0,23.0,24.0,24.0,63.0,60.0,60.0,60.0,63.0,63.0,96.0,96.0,96.0,41.0,40.0,40.0,40.0,41.0,41.0,1.C,65.90656236247648,95.9258246540128,81.2280630074553,87.00098246555214,73.10525670670978,56.85964410521871,78.30088421899693,60.90068772588649,86.33324218861154,67.14807725780896,59.31590612622883,46.13459365373353,2020-12-09,True,8p0e__1__1.A__1.C,5hol__1__1.A__1.B,61.0,67.0,44.0,32.0,78.0,61.0,78.0,24.0,23.0,23.0,23.0,24.0,24.0,63.0,58.0,58.0,58.0,63.0,63.0,92.0,92.0,92.0,41.0,38.0,38.0,38.0,41.0,41.0,1.C,59.89075089876613,95.60087941747364,78.686926073485,84.39790736384398,1.0,61.3758023373183,47.999024904825845,65.8303677437983,51.48272349194483,74.56868594562944,58.31653644465892,46.714785701037584,36.53335804824734,2016-01-27,True,1,1,1,2024-01-17,84.38978485088015,100.0,100.0,90.0
8aop__1__1.A__1.E,MW6,c48,250.077598688,1.E,3,72.19,7,17,True,8aop,SIGNALING PROTEIN,2,12,Nc1cccc(SC[C@H]2CCC(=O)NC2=O)c1,0,8aop__1__1.A__1.E__1.E,8aop__1__1.A__1.E,7bqv__1__1.A_1.B__1.C,56.0,57.0,67.0,67.0,94.0,94.0,100.0,34.0,32.0,32.0,32.0,34.0,34.0,86.0,82.0,82.0,82.0,86.0,86.0,95.0,95.0,95.0,45.0,43.0,43.0,43.0,45.0,45.0,1.E,45.25755181812799,84.65107904154787,58.011699630004166,76.35786482005784,58.011699630004166,54.53099765220392,76.35786482005784,71.77639293085437,84.65107904154787,79.572014299055,45.25755181812799,42.5420987090403,2020-08-26,True,8aop__1__1.A__1.E,5amj__1__1.A__1.E,89.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.E,36.76615538294594,86.82749672983486,65.50797050111588,74.12048710021793,0.2247899159663865,65.50797050111588,65.50797050111588,74.12048710021793,74.12048710021793,86.82749672983486,86.82749672983486,36.76615538294594,36.76615538294594,2015-07-01,True,1,1,1,2023-01-11,100.0,22.593320235756384,29.82456140350877,100.0
8qk9__1__1.A__1.D,VQ9,c104,596.137496624,1.D,7,107.1,14,40,True,8qk9,HYDROLASE,4,35,CN(c1ccccc1C(=O)Nc1ccc(S(=O)(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1)S(C)(=O)=O,0,8qk9__1__1.A__1.D__1.D,8qk9__1__1.A__1.D,6wii__1__1.A__1.B_1.E,33.0,36.0,86.0,74.0,93.0,82.0,86.0,83.0,83.0,83.0,83.0,83.0,83.0,97.0,96.0,96.0,96.0,97.0,97.0,100.0,100.0,100.0,87.0,86.0,86.0,86.0,87.0,87.0,1.D,44.3118676871492,65.37363524844129,58.96931591746848,64.5490698046071,50.71361168902289,48.35483905232415,55.5122000319621,52.93023723977782,56.22132631365951,53.606380903721856,38.10820621094831,36.33573150346234,2020-07-29,True,8qk9__1__1.A__1.D,6pib__1__1.A__1.D,47.0,43.0,86.0,66.0,86.0,64.0,69.0,80.0,80.0,80.0,80.0,80.0,80.0,94.0,94.0,94.0,94.0,94.0,94.0,100.0,100.0,100.0,87.0,87.0,87.0,87.0,87.0,87.0,1.D,44.266838390983104,63.67317065646505,58.81174404501333,63.62801049707528,0.605414273995078,40.58010339105919,37.63951618880853,43.90332724298194,40.72192671812818,43.93448775296088,40.75082922013763,30.54411848977833,28.330776570229187,2020-02-12,True,1,1,1,2024-04-17,55.5122000319621,58.88888888888889,42.85714285714285,86.0
8qk2__1__1.A__1.D,VTF,c104,569.1515089639998,1.D,7,156.67000000000002,8,39,True,8qk2,HYDROLASE,4,26,Cc1cc(C#N)nc(N2CCN(S(=O)(=O)c3ccc(NC(=O)c4ccccc4N(C)S(C)(=O)=O)cc3)CC2)n1,0,8qk2__1__1.A__1.D__1.D,8qk2__1__1.A__1.D,6wii__1__1.A__1.B_1.E,50.0,50.0,100.0,92.0,97.0,90.0,92.0,99.0,98.0,98.0,98.0,99.0,99.0,98.0,97.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,100.0,100.0,1.D,37.48749615563497,70.3263916660272,57.76901024810415,61.35452391336727,53.14748942825582,51.99210922329373,56.44616200029789,55.21907152203054,64.70028033274504,63.293752499424485,34.48849646318418,33.738746540071475,2020-07-29,True,8qk2__1__1.A__1.D,6pib__1__1.A__1.D,60.0,38.0,100.0,77.0,89.0,73.0,77.0,94.0,94.0,94.0,94.0,94.0,94.0,96.0,95.0,95.0,95.0,96.0,96.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,99.0,99.0,1.D,41.70809607275597,69.27562419370301,60.40264017228967,65.26202692856717,0.5070422535211268,46.51003293266304,44.09392732577145,50.25176073499672,47.64127965785403,53.34223062915132,50.5712056614032,32.1152339760221,30.446910133111857,2020-02-12,True,1,1,1,2024-04-17,56.44616200029789,47.82276546982429,27.835051546391757,92.0
8qk5__1__1.A__1.D,VN6,c104,667.2359072840001,1.D,10,185.93,11,46,True,8qk5,HYDROLASE,5,29,Cc1cc(C#N)nc(N2CCN(S(=O)(=O)c3ccc(NC(=O)c4cc(CN5CC(CN)C5)ccc4N(C)S(C)(=O)=O)cc3)CC2)n1,0,8qk5__1__1.A__1.D__1.D,8qk5__1__1.A__1.D,6wii__1__1.A__1.B_1.E,42.0,36.0,100.0,90.0,97.0,87.0,90.0,98.0,97.0,97.0,97.0,98.0,98.0,97.0,96.0,96.0,96.0,97.0,97.0,99.0,99.0,99.0,100.0,98.0,98.0,98.0,100.0,100.0,1.D,29.05638908397202,61.123541462413264,47.55501537141343,49.49303610114141,42.79951383427208,41.37286337312968,44.54373249102727,43.05894140799303,55.01118731617194,53.17748107229954,26.15075017557482,25.27905850305566,2020-07-29,True,8qk5__1__1.A__1.D,6pib__1__1.A__1.D,58.0,45.0,100.0,69.0,88.0,66.0,69.0,93.0,93.0,93.0,93.0,93.0,93.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,1.D,10.970274664444,51.31228314699059,57.10784522188192,32.313061748779106,0.4951388888888889,39.40441320309852,37.69117784644207,22.29601260665758,21.32662075419421,35.405475371423506,33.86610687701379,7.569489518466359,7.24038127853304,2020-02-12,True,1,1,1,2024-04-17,44.54373249102727,46.785714285714285,26.36363636363636,90.0
8qka__1__1.A__1.D,VTK,c104,451.1235629,1.D,6,103.86,10,30,True,8qka,HYDROLASE,3,21,CN(c1ccccc1C(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)S(C)(=O)=O,0,8qka__1__1.A__1.D__1.D,8qka__1__1.A__1.D,6wii__1__1.A__1.B_1.E,50.0,40.0,100.0,90.0,98.0,89.0,90.0,98.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0,97.0,98.0,98.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,1.D,30.435366794743224,49.65317685137068,51.73733987526886,58.81644398716289,46.56360588774197,46.04623248898928,52.9347995884466,52.346635148574975,44.687859166233615,44.19132739771991,27.391830115268903,27.08747644732147,2020-07-29,True,8qka__1__1.A__1.D,6pib__1__1.A__1.D,67.0,50.0,100.0,76.0,93.0,73.0,76.0,93.0,93.0,93.0,93.0,93.0,93.0,96.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,1.D,25.272261690755226,51.450866678993656,53.28226475950264,39.35034744245339,0.4584664536741214,40.49452121722201,38.89605327443692,29.90626405626457,28.725753632990976,39.102658676035176,37.55913267566537,19.20691888497397,18.44875103425132,2020-02-12,True,1,1,1,2024-04-17,54.25998582762311,44.60251046025105,27.710843373493976,100.0
7lzr__1__1.A_1.B__1.H,YJJ,c173,533.1578299280001,1.H,5,138.29999999999998,11,38,True,7lzr,TRANSCRIPTION/INHIBITOR,5,32,Cc1cc(-c2cn(CC(=O)Nc3cc(N4CCOCC4)ncc3Cl)c3ncn(C)c(=O)c23)cc(C#N)c1O,0,7lzr__1__1.A_1.B__1.H__1.H,7lzr__1__1.A_1.B__1.H,6xmx__1__1.E_1.F_1.G__1.M,45.0,45.0,100.0,88.0,99.0,87.0,88.0,98.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0,96.0,98.0,97.0,99.0,99.0,99.0,98.0,97.0,97.0,97.0,98.0,98.0,1.H,16.83058414547111,66.86176020604908,0.0,48.4414871138781,0.0,0.0,42.62850866021273,42.14409378907395,58.83834898132319,58.1697313792627,14.810914048014578,14.642608206559869,2020-11-25,True,7lzr__1__1.A_1.B__1.H,6too__1__1.A_2.A__2.C,55.0,55.0,100.0,69.0,100.0,69.0,69.0,98.0,98.0,98.0,97.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,100.0,100.0,100.0,98.0,98.0,98.0,97.0,98.0,98.0,1.H,6.8262115828636585,60.846035106323626,31.75780459213772,39.058359407319934,0.4416123295791345,21.91288516857502,21.91288516857502,26.95026799105075,26.95026799105075,41.9837642233633,41.9837642233633,4.710085992175924,4.710085992175924,2020-04-22,True,1,2,1,2022-03-16,100.0,46.880466472303205,20.689655172413797,88.0
7txk__1__1.A__1.C,LW8,c737,230.09577417209,1.C,4,68.88,13,15,True,7txk,TRANSPORT PROTEIN,1,34,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)O,4,7txk__1__1.A__1.C__1.C,7txk__1__1.A__1.C,3ppo__2__1.B__1.D,38.0,62.0,44.0,29.0,79.0,44.0,56.0,36.0,35.0,35.0,35.0,36.0,36.0,81.0,79.0,79.0,79.0,81.0,81.0,98.0,98.0,98.0,46.0,45.0,45.0,45.0,46.0,46.0,1.C,15.029708533712151,75.33994863924029,19.45666218821245,42.27318457003925,10.895730825398974,8.560931362813479,23.67298335922198,18.600201210817268,42.19037123797457,33.14957740126573,8.416636778878807,6.613071754833348,2011-05-11,True,7txk__1__1.A__1.C,3ppo__2__1.B__1.D,38.0,62.0,44.0,29.0,79.0,44.0,56.0,36.0,35.0,35.0,35.0,36.0,36.0,81.0,79.0,79.0,79.0,81.0,81.0,98.0,98.0,98.0,46.0,45.0,45.0,45.0,46.0,46.0,1.C,15.029708533712151,75.33994863924029,19.45666218821245,42.27318457003925,0.1272727272727272,10.895730825398974,8.560931362813479,23.67298335922198,18.600201210817268,42.19037123797457,33.14957740126573,8.416636778878807,6.613071754833348,2011-05-11,True,1,1,1,2022-12-21,100.0,12.727272727272728,21.428571428571427,56.0
7txp__1__1.A_2.A__2.B,0FX,c556,547.0968258039998,2.B,8,262.32,19,35,True,7txp,TRANSFERASE,3,32,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)[C@@H](N)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,228,7txp__1__1.A_2.A__2.B__2.B,7txp__1__1.A_2.A__2.B,3bss__1__1.A_3.A__3.B,42.0,53.0,50.0,47.0,70.0,64.0,81.0,28.0,28.0,28.0,28.0,28.0,28.0,75.0,72.0,72.0,72.0,75.0,75.0,97.0,97.0,97.0,48.0,47.0,47.0,47.0,48.0,48.0,2.B,48.81798280322253,85.90940058059448,46.62182538894136,75.94326161547185,37.7636785650425,29.837968248922472,61.51404190853221,48.60368743390199,69.58661447028153,54.98201637158047,39.542566070610256,31.243508994062424,2008-07-22,True,7txp__1__1.A_2.A__2.B,3bss__1__1.A_3.A__3.B,42.0,53.0,50.0,47.0,70.0,64.0,81.0,28.0,28.0,28.0,28.0,28.0,28.0,75.0,72.0,72.0,72.0,75.0,75.0,97.0,97.0,97.0,48.0,47.0,47.0,47.0,48.0,48.0,2.B,48.81798280322253,85.90940058059448,46.62182538894136,75.94326161547185,0.7792732166890982,37.7636785650425,29.837968248922472,61.51404190853221,48.60368743390199,69.58661447028153,54.98201637158047,39.542566070610256,31.243508994062424,2008-07-22,True,1,2,1,2022-03-09,100.0,77.92732166890983,48.31460674157304,81.0
7yv4__1__1.A__1.B,JXY,c487,300.099773612,1.B,1,86.99000000000001,10,22,True,7yv4,HYDROLASE,3,28,Cc1c(O)c(C)c2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,0,7yv4__1__1.A__1.B__1.B,7yv4__1__1.A__1.B,4dm9__2__1.B__1.D,,,64.0,7.0,69.0,5.0,7.0,51.0,51.0,51.0,51.0,51.0,51.0,82.0,82.0,82.0,82.0,82.0,82.0,99.0,99.0,99.0,69.0,68.0,68.0,68.0,69.0,69.0,1.B,4.5137700308990825,56.37418333551298,0.0,45.54416638426564,0.0,0.0,3.1880916468985947,2.277208319213282,3.946192833485909,2.8187091667756494,0.3159639021629358,0.2256885015449541,2012-05-23,True,7yv4__1__1.A__1.B,1xd3__1__1.A_1.B__1.H,,,100.0,4.0,83.0,3.0,4.0,89.0,89.0,89.0,89.0,89.0,89.0,92.0,92.0,92.0,92.0,92.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.B,1.0426132977258915,43.57789075947584,0.0,21.710654691202976,0.046875,0.0,0.0,0.8684261876481191,0.6513196407360893,1.7431156303790338,1.3073367227842752,0.0417045319090356,0.0312783989317767,2004-11-23,True,1,1,1,2023-04-19,100.0,22.842197035745425,8.860759493670885,11.0
7qfe__1__1.A__1.D,4TX,c352,250.156894564,1.D,6,46.53,9,18,True,7qfe,TRANSPORT PROTEIN,1,23,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,4,7qfe__1__1.A__1.D__1.D,7qfe__1__1.A__1.D,7aai__1__1.A__1.B_1.J_1.P_1.Q,18.0,11.0,100.0,91.0,99.0,90.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,38.03831604049324,73.09793305002874,36.62812213391065,74.3564460119131,33.331591141858695,32.96530992051959,67.66436587084092,66.9208014107218,66.51911907552616,65.78813974502587,34.61486759684885,34.23448443644392,2021-02-24,True,7qfe__1__1.A__1.D,7jwn__1__1.A__1.D_1.F,64.0,56.0,100.0,91.0,96.0,88.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.D,21.39642202119655,73.62045820903347,51.03774638793244,58.49048693630932,0.169179229480737,46.44434921301852,44.913216821380544,53.22634311204149,51.4716285039522,66.99461697022046,64.78600322394945,19.47074403928886,18.828851378652963,2020-09-09,True,1,1,1,2022-03-02,100.0,13.425925925925927,13.333333333333334,96.0
8fh4__1__1.A__1.E,XXF,c1,422.162187036,1.E,2,81.07000000000001,8,30,True,8fh4,TRANSFERASE,5,27,CN1CCC2(CC1)CN(c1ncnc3[nH]c(Cl)c(-c4cccc(C#N)c4)c13)CCO2,0,8fh4__1__1.A__1.E__1.E,8fh4__1__1.A__1.E,5op5__1__1.A__1.B,56.0,62.0,63.0,59.0,81.0,77.0,93.0,23.0,21.0,21.0,21.0,23.0,23.0,66.0,61.0,61.0,61.0,66.0,66.0,93.0,93.0,93.0,43.0,40.0,40.0,40.0,43.0,43.0,1.E,63.28981206405292,80.59240117083796,46.662815838724136,82.47414736855568,43.39641873001345,35.930368195817586,76.70095705275678,63.50509347378787,74.95093308887931,62.05614890154523,58.859525219569214,48.73315528932075,2017-10-25,True,8fh4__1__1.A__1.E,2c0i__1__1.A__1.C,78.0,75.0,70.0,63.0,67.0,56.0,78.0,24.0,23.0,23.0,23.0,24.0,24.0,57.0,54.0,54.0,54.0,57.0,57.0,93.0,93.0,93.0,39.0,37.0,37.0,37.0,39.0,39.0,1.E,5.603085422629257,42.37619297400964,37.93356616774359,38.31928146718925,0.5360484314804623,29.58818161084,21.24279705393641,29.889039544407616,21.458797621625983,33.05343051972752,23.7306680654454,4.37040662965082,3.137727836672384,2006-09-20,True,1,1,1,2023-04-05,100.0,71.96787148594377,46.57534246575342,100.0
7fha__1__1.A__1.C,ADX,c956,427.0198992779998,1.C,6,229.44,14,27,True,7fha,BIOSYNTHETIC PROTEIN,3,26,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,11856,7fha__1__1.A__1.C__1.C,7fha__1__1.A__1.C,1xnj__1__1.B__1.F,58.0,64.0,100.0,100.0,99.0,99.0,100.0,77.0,77.0,77.0,77.0,77.0,77.0,97.0,97.0,97.0,97.0,97.0,97.0,100.0,100.0,100.0,87.0,86.0,86.0,86.0,87.0,87.0,1.C,68.70366479241203,99.06790590256732,91.41335719434866,94.942065652617,91.41335719434866,90.49922362240518,94.942065652617,93.99264499609085,99.06790590256732,98.07722684354164,68.70366479241203,68.01662814448791,2005-08-30,True,7fha__1__1.A__1.C,4maf__3__1.E__1.M,74.0,57.0,100.0,100.0,98.0,98.0,100.0,62.0,62.0,62.0,62.0,62.0,62.0,92.0,92.0,92.0,92.0,92.0,92.0,100.0,100.0,100.0,72.0,72.0,72.0,72.0,72.0,72.0,1.C,68.36589471800863,99.25201925753515,87.79304392582875,94.8098588254873,1.0,87.79304392582875,86.03718304731218,94.8098588254873,92.91366164897757,99.25201925753515,97.26697887238444,68.36589471800863,66.99857682364846,2014-03-12,True,1,1,1,2021-12-01,100.0,100.0,100.0,100.0
7fhb__1__1.A__1.B,GPP,c985,314.0684262399999,1.B,8,113.29000000000002,11,19,True,7fhb,TRANSFERASE,0,31,CC(C)=CCC/C(C)=C/CO[P@@](=O)(O)OP(=O)(O)O,245,7fhb__1__1.A__1.B__1.B,7fhb__1__1.A__1.B,1zcw__1__1.A__1.B_1.E,64.0,64.0,100.0,97.0,99.0,96.0,97.0,100.0,98.0,98.0,98.0,100.0,100.0,97.0,96.0,96.0,96.0,97.0,97.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,100.0,1.B,17.776808490982017,68.16444491757343,62.356854090281686,61.90212313062693,60.48614846757324,59.86257992667041,60.04505943670812,59.42603820540185,66.11951157004623,65.4378671208705,17.243504236252555,17.065736151342737,2005-06-21,True,7fhb__1__1.A__1.B,5ynt__1__1.A__1.C_1.D,64.0,45.0,29.0,29.0,73.0,45.0,58.0,21.0,20.0,20.0,20.0,21.0,21.0,69.0,66.0,66.0,66.0,69.0,69.0,95.0,95.0,95.0,33.0,31.0,31.0,31.0,33.0,33.0,1.B,20.562114310557178,64.54662410854718,25.5332002829531,59.85244506851526,0.7813765182186235,14.809256164112798,11.489940127328897,34.71441813973885,26.933600280831868,37.43704198295736,29.04598084884623,11.926026300123162,9.25295143975073,2018-08-29,True,1,1,1,2022-06-22,100.0,100.0,100.0,97.0
8aw1__1__1.A__1.C,3E8,c1,492.227374136,1.C,7,96.93,13,37,True,8aw1,TRANSFERASE,5,28,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,1,8aw1__1__1.A__1.C__1.C,8aw1__1__1.A__1.C,4r1v__1__1.A__1.B,69.0,62.0,100.0,96.0,94.0,91.0,96.0,94.0,94.0,94.0,94.0,94.0,94.0,92.0,92.0,92.0,92.0,92.0,92.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,1.C,57.48700405561868,93.79483204567336,76.0585050993209,81.53502254835259,73.01616489534806,69.21323964038201,78.27362164641848,74.19687051900085,90.04303876384644,85.35329716156278,55.18752389339393,52.313173690613,2015-03-18,True,8aw1__1__1.A__1.C,4dei__1__1.A__1.B,69.0,62.0,100.0,93.0,95.0,88.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,1.C,17.427386115719152,76.6681051592296,44.76036875697866,50.09698682996155,0.4246987951807229,41.62714294399015,39.38912450614122,46.590197751864245,44.085348410366166,71.30133779808352,67.46793254012205,16.20746908761881,15.336099781832852,2012-05-30,True,1,1,1,2023-09-06,78.27362164641848,100.0,100.0,96.0
8iui__1__1.A__1.C,E64,c690,360.22414548009004,1.C,12,179.37000000000003,10,25,True,8iui,HYDROLASE,0,29,CC(C)C[C@H](NC(=O)[C@@H](O)CC(=O)O)C(=O)NCCCCNC(N)=[NH2+],52,8iui__1__1.A__1.C__1.C,8iui__1__1.A__1.C,6ycc__2__1.B__1.G,90.0,80.0,52.0,52.0,88.0,86.0,97.0,38.0,38.0,38.0,38.0,38.0,38.0,86.0,86.0,86.0,86.0,86.0,86.0,100.0,100.0,100.0,56.0,56.0,56.0,56.0,56.0,56.0,1.C,27.47089945754142,58.34328429079619,55.52413985593368,63.023298999995205,53.85841566025567,47.75076027610296,61.13260002999535,54.20003713999588,56.5929857620723,50.17522449008472,26.646772473815176,23.624973533485623,2020-11-25,True,8iui__1__1.A__1.C,6ycc__2__1.B__1.G,90.0,80.0,52.0,52.0,88.0,86.0,97.0,38.0,38.0,38.0,38.0,38.0,38.0,86.0,86.0,86.0,86.0,86.0,86.0,100.0,100.0,100.0,56.0,56.0,56.0,56.0,56.0,56.0,1.C,27.47089945754142,58.34328429079619,55.52413985593368,63.023298999995205,1.0,53.85841566025567,47.75076027610296,61.13260002999535,54.20003713999588,56.5929857620723,50.17522449008472,26.646772473815176,23.624973533485623,2020-11-25,True,1,1,1,2024-04-03,70.6881205136031,100.0,100.0,97.0
7vdq__1__1.A__1.E,64V,c1,505.223765976,1.E,8,119.64,15,37,True,7vdq,TRANSFERASE,5,26,CN1CCC(N(CC(=O)O)c2ccc3cnc(Nc4ccc(-n5ccc(CO)n5)cc4F)cc3n2)CC1,0,7vdq__1__1.A__1.E__1.E,7vdq__1__1.A__1.E,5vd5__1__1.A__1.B,24.0,20.0,50.0,46.0,86.0,80.0,92.0,21.0,20.0,20.0,20.0,21.0,21.0,69.0,67.0,67.0,67.0,69.0,69.0,97.0,97.0,97.0,36.0,34.0,34.0,34.0,36.0,36.0,1.E,34.309670246656424,71.68003121048521,38.18061339457304,58.69005733608348,35.126164323007195,30.54449071565843,53.9948527491968,46.95204586886678,65.9456287136464,57.34402496838817,31.56489662692391,27.447736197325145,2018-04-04,True,7vdq__1__1.A__1.E,2hyy__1__1.A__1.E,65.0,47.0,54.0,46.0,73.0,56.0,77.0,24.0,23.0,23.0,23.0,24.0,24.0,60.0,58.0,58.0,58.0,60.0,60.0,97.0,97.0,97.0,43.0,42.0,42.0,42.0,43.0,43.0,1.E,1.6966421536419376,46.068669928767406,16.47170066265525,27.76435525258353,0.3830508474576271,12.68320951024454,9.22415237108694,21.37855354448932,15.54803894144678,35.4728758451509,25.79845516010975,1.306414458304292,0.9501196060394852,2007-01-16,True,1,1,1,2022-03-09,100.0,50.08537279453614,15.966386554621849,96.0
