system_id,proper_ligand_chain
7u8x__1__1.A__1.B,1.B
7u98__1__1.A__1.E,1.E
7u99__1__1.A__1.B,1.B
7u9a__1__1.A__1.B,1.B
7uad__1__1.A__1.B,1.B
7uas__1__1.A__1.C,1.C
7uaw__1__1.A_1.B__1.C,1.C
7ubo__1__1.A__1.E,1.E
7udq__1__1.A__1.C,1.C
7ue4__1__1.A_2.A__2.F,2.F
7ue8__1__1.A_2.A__2.D,2.D
7ueo__1__1.A_2.A__2.D,2.D
7ueu__1__1.A_2.A__2.B,2.B
7uf0__1__1.A_2.A__1.B,1.B
7ug5__1__1.A__1.E,1.E
7ugb__1__1.A__1.C,1.C
7ugl__1__1.A__1.C,1.C
7ugl__1__1.A__1.D,1.D
7uj7__1__1.A__1.E,1.E
7uj8__1__1.A__1.C,1.C
7ujc__1__1.B__1.D,1.D
7ujf__1__1.A__1.E,1.E
7ujh__1__1.A_1.B__1.D,1.D
7ujo__1__1.D__1.H,1.H
7ujy__1__1.B__1.F,1.F
7ukr__1__1.A__1.C,1.C
7um4__1__1.A__1.I,1.I
7un0__1__1.A__1.G,1.G
7ur3__1__1.A__1.B,1.B
7ur9__1__1.A_1.B__1.D,1.D
7usg__1__1.A__1.B,1.B
7ush__1__1.A__1.B,1.B
7usi__1__1.A__1.G,1.G
7ut5__1__1.A__1.C,1.C
7uw2__1__1.A__1.C,1.C
7uw4__1__1.A__1.C,1.C
7uy0__1__1.A__1.E,1.E
7v13__1__1.A__1.C,1.C
7v16__1__1.A__1.C,1.C
7v17__1__1.A__1.C,1.C
7v18__1__1.A__1.C,1.C
7v1o__1__1.A__1.D,1.D
7v3d__1__1.A_1.B__1.F,1.F
7v3s__1__1.A__1.B,1.B
7v62__1__1.C__1.M,1.M
7vbt__1__1.B__1.D,1.D
7vbv__1__1.B__1.N,1.N
7vdq__1__1.A__1.E,1.E
7vds__1__1.A__1.E,1.E
7vez__1__1.A_1.D__1.E,1.E
7vhy__1__1.A__1.F,1.F
7vhz__1__1.A__1.F,1.F
7vi0__1__1.A__1.F,1.F
7vi7__1__1.A__1.C,1.C
7vjt__1__1.A__1.C,1.C
7vkg__1__1.A__1.B,1.B
7vkh__1__1.A__1.C,1.C
7vl0__1__1.A__1.C,1.C
7vl2__1__1.A__1.C,1.C
7vl3__1__1.A__1.C,1.C
7vl6__1__1.A__1.C,1.C
7vl7__1__1.A__1.C,1.C
7vm7__1__1.A__1.B,1.B
7vnh__1__1.A__1.C,1.C
7vns__1__1.A_2.A__2.C,2.C
7vo5__1__1.A__1.B,1.B
7vpe__1__1.A__1.B,1.B
7vpr__1__1.B__1.F,1.F
7vpu__1__1.A__1.E,1.E
7vqp__1__1.A__1.C,1.C
7vre__1__1.A__1.B,1.B
7vrh__1__1.A__1.D,1.D
7vsl__1__1.A__1.D,1.D
7vte__1__1.A__1.F,1.F
7vtf__1__1.A_1.B__1.F,1.F
7vtg__1__1.A__1.E,1.E
7vvt__1__1.A__1.C,1.C
7vwe__1__1.A__1.D,1.D
7vwg__1__1.A__1.D,1.D
7vwh__1__1.B__1.F,1.F
7vwt__1__1.B__1.H,1.H
7w0g__1__1.B__1.D,1.D
7w1i__1__1.A__1.B,1.B
7w2d__1__1.B__1.R,1.R
7w2f__1__1.A__1.M,1.M
7w3p__1__1.A__1.C,1.C
7w3s__1__1.B_1.D__1.F,1.F
7w41__1__1.A__1.B,1.B
7w4y__1__1.A__1.E,1.E
7w6f__1__1.A_1.B__1.C,1.C
7wbs__1__1.A_1.B__1.D,1.D
7wc6__1__1.A__1.F,1.F
7wc7__1__1.A__1.M,1.M
7wc8__1__1.A__1.H,1.H
7wcl__1__1.A__1.C,1.C
7wdt__1__1.A__1.B,1.B
7wdt__1__1.A__1.C,1.C
7wdu__1__1.A__1.C,1.C
7wew__1__1.A__1.K,1.K
7wf5__1__1.A__1.C,1.C
7wgl__1__1.A__1.D,1.D
7wgn__1__1.A__1.B,1.B
7wgo__1__1.A__1.C,1.C
7wgq__1__1.A__1.C,1.C
7wlw__1__1.A__1.I,1.I
7wlx__1__1.A__1.C,1.C
7wmh__1__1.A__1.C,1.C
7wmj__1__1.A__1.C,1.C
7wmo__1__1.A__1.C,1.C
7wqq__1__1.A__1.C,1.C
7wux__1__1.A_1.D__1.J,1.J
7x11__1__1.D__1.P,1.P
7x4u__1__1.A__1.B,1.B
7x7x__1__1.A__1.C,1.C
7x81__1__1.A_1.B__1.D,1.D
7x86__1__1.A_1.C__1.G,1.G
7x9d__1__1.A__1.E,1.E
7xbv__1__1.A__1.B,1.B
7xef__1__1.A__1.E,1.E
7xej__1__1.A_2.A__1.B,1.B
7xek__1__1.A_2.A__1.B,1.B
7xen__1__1.A_2.A__2.B,2.B
7xep__1__1.A_2.A__1.E,1.E
7xeq__1__1.A_2.A__2.D,2.D
7xes__1__1.A_2.A__2.D,2.D
7xet__1__1.A_2.A__1.B,1.B
7xf7__1__1.A__1.B,1.B
7xh6__1__1.A__1.E,1.E
7xhh__1__1.B__1.D,1.D
7xhq__1__1.A__1.C,1.C
7xi7__1__1.A__1.B,1.B
7xk9__1__1.A__1.C,1.C
7xka__1__1.A__1.C,1.C
7xlp__1__1.A__1.B,1.B
7xm7__1__1.A__1.E,1.E
7xmk__1__1.A__1.D,1.D
7xnc__1__1.A__1.B,1.B
7xoz__1__1.B__1.F,1.F
7xpo__1__1.B__1.H,1.H
7xrr__1__1.A__1.B,1.B
7xsv__1__1.A__1.B,1.B
7xua__1__1.B__1.N,1.N
7xub__1__1.A__1.H,1.H
7xuc__1__1.A__1.H,1.H
7xvu__1__4.A__4.C,4.C
7xvv__1__3.A__3.C,3.C
7xvw__1__2.A__2.C,2.C
7xxc__1__1.A_1.B_1.D__1.M,1.M
7xxm__1__1.A_1.B_1.C__1.K,1.K
7xxp__1__1.A_1.B_1.C__1.K,1.K
7y0f__1__1.B__1.G,1.G
7y4g__1__2.A__2.D,2.D
7y4u__1__1.A__1.B,1.B
7yd2__1__1.A_1.B__1.K,1.K
7ydx__1__2.B__2.H,2.H
7yj9__1__1.A_2.A__2.B,2.B
7yja__1__1.A_1.B__1.E,1.E
7yjb__1__1.A_2.A__2.B,2.B
7yop__1__1.A_1.B__1.E,1.E
7yoq__1__1.B__1.D,1.D
7ypu__1__1.A_1.B__1.I,1.I
7ypv__1__1.A_1.B__1.J,1.J
7ysx__1__1.B__1.J,1.J
7yv4__1__1.A__1.B,1.B
7yxd__1__1.A__1.I,1.I
7yxe__1__1.A__1.C,1.C
7yzs__1__1.A__1.B,1.B
7yzu__1__1.A__1.B,1.B
7z1r__1__1.A_2.A__1.B,1.B
7z1v__1__1.A__1.C,1.C
7z1w__1__1.A__1.C,1.C
7z2q__1__1.A__1.C,1.C
7z39__1__1.A__1.C,1.C
7z3y__1__1.A__1.D,1.D
7z41__1__1.A__1.C,1.C
7z5b__1__1.A__1.D,1.D
7z5r__1__1.A__1.D,1.D
7z5x__1__1.A__1.C,1.C
7z78__1__1.A__1.D,1.D
7z9t__1__1.A__1.C,1.C
7za0__1__1.A__1.B,1.B
7zaa__1__1.A__1.C,1.C
7zeg__1__1.A__1.C,1.C
7zfv__1__1.A__1.C,1.C
7zg9__1__1.A__1.C,1.C
7zgb__1__1.A__1.B,1.B
7zgc__1__1.A__1.B,1.B
7zgd__1__1.A__1.B,1.B
7zi0__1__1.A__1.C,1.C
7zik__1__1.A__1.D,1.D
7ziy__1__1.A__1.C,1.C
7zj0__1__1.A__1.C,1.C
7zjp__1__1.A__1.C,1.C
7zjq__1__1.A__1.E,1.E
7zks__1__1.A__1.B,1.B
7zkw__1__1.A_1.C__1.E,1.E
7zp7__1__1.A__1.C,1.C
7zsm__1__1.A_2.A__1.B,1.B
7zso__1__1.A_1.C__1.S,1.S
7zst__1__1.B_1.C__1.H,1.H
7zwb__1__1.A__1.D,1.D
7zxz__1__2.A_2.B__2.E,2.E
7zym__1__1.A__1.B,1.B
7zyn__1__1.A__1.B,1.B
7zz7__1__1.A_4.A__4.C,4.C
7zzc__1__1.A_4.A__4.D,4.D
7zzf__1__2.A_3.A__3.C,3.C
7zzg__1__2.A_3.A__2.C,2.C
8a0t__1__1.A__1.C,1.C
8a2p__1__1.A__1.B,1.B
8a3a__1__1.A__1.B,1.B
8a4q__1__1.A_2.A__1.B,1.B
8a56__1__1.A_1.B__1.I,1.I
8a66__1__1.A__1.C,1.C
8a7i__1__1.A__1.C,1.C
8a9i__1__1.A__1.B,1.B
8a9v__1__2.A_3.A__3.C,3.C
8ab3__1__1.A_1.B_1.C_1.D__1.L,1.L
8abu__1__1.A__1.D,1.D
8acm__1__1.A__1.E,1.E
8ad7__1__1.A__1.J,1.J
8adf__1__1.B__1.D,1.D
8adj__1__1.A__1.D,1.D
8aev__1__1.A__1.G,1.G
8ai7__1__1.A__1.Q,1.Q
8am2__1__1.A__1.D,1.D
8aop__1__1.A__1.E,1.E
8apt__1__1.A_2.A__1.B,1.B
8apu__1__1.A_2.A__1.B,1.B
8apw__1__1.A_2.A__2.C,2.C
8aqf__1__1.A__1.B,1.B
8aqj__1__1.A_3.A__3.B,3.B
8arj__1__1.A__1.B,1.B
8asf__1__1.B__1.E,1.E
8atb__1__1.A__1.C,1.C
8atl__1__1.A__1.C,1.C
8aw1__1__1.A__1.C,1.C
8ax0__1__1.B__1.H,1.H
8axp__1__1.A__1.C,1.C
8ay6__1__1.A_1.B__1.C,1.C
8ay8__1__1.A_1.B__1.D,1.D
8aya__1__1.A_1.B__1.C,1.C
8azd__1__1.A__1.C,1.C
8azi__1__1.A__1.C,1.C
8azl__1__1.A__1.C,1.C
8azm__1__1.A__1.C,1.C
8azo__1__1.A__1.C,1.C
8azp__1__1.A__1.C,1.C
8b08__1__1.B__1.E,1.E
8b1v__1__1.A_1.B__1.E,1.E
8b25__1__1.A_1.B__1.J,1.J
8b35__1__1.A_1.B__1.E,1.E
8b5s__1__1.B__1.D,1.D
8b62__1__1.A__1.C,1.C
8b6m__1__1.A_1.B__1.E,1.E
8b75__1__1.A__1.B,1.B
8b8x__1__1.A_1.C__1.E,1.E
8b8z__1__1.A__1.E,1.E
8b91__1__1.A__1.E,1.E
8b9h__1__1.A__1.B,1.B
8baj__1__1.A__1.B,1.B
8bcy__1__1.A__1.C,1.C
8bdm__1__1.C__1.M,1.M
8bgc__1__1.A__1.F,1.F
8bgt__1__1.A_2.A__2.D,2.D
8bgz__1__1.A_1.B__1.F,1.F
8bh0__1__1.A_1.D__1.J,1.J
8bhg__1__1.B_1.C__1.K,1.K
8bi6__1__1.A__1.D,1.D
8bih__1__1.A_1.L__1.N,1.N
8biq__1__1.C__1.G,1.G
8bir__1__1.A_1.B__1.D,1.D
8bj3__1__1.A_1.B__1.C,1.C
8bjd__1__1.A__1.B,1.B
8bjt__1__1.A__1.C,1.C
8bju__1__1.A__1.B,1.B
8bk0__1__1.A__1.H,1.H
8blt__1__1.A_1.B__1.I,1.I
8bnx__1__1.A__1.C,1.C
8bo3__1__1.A__1.B,1.B
8bo4__1__1.A__1.C,1.C
8boc__1__1.A__1.B,1.B
8bok__1__1.A__1.B,1.B
8bq4__1__1.B__1.D,1.D
8br5__1__1.A__1.E,1.E
8br6__1__1.A__1.C,1.C
8bsg__1__1.A__1.B,1.B
8bsl__1__1.C_1.D__1.F,1.F
8bst__1__1.A__1.R,1.R
8bt0__1__1.A__1.M,1.M
8bt2__1__1.A__1.M,1.M
8c1m__1__1.A__1.C,1.C
8c3g__1__1.C__1.AA,1.AA
8c3i__1__1.B__1.D,1.D
8c3r__1__1.A__1.C,1.C
8c3u__1__1.A__1.C,1.C
8c6l__1__1.A__1.C,1.C
8c6n__1__1.A__1.B,1.B
8c6o__1__1.A__1.C,1.C
8c6p__1__1.A__1.B,1.B
8c6q__1__1.A__1.C,1.C
8c6s__1__1.A__1.C,1.C
8c70__1__1.A__1.B,1.B
8c71__1__1.A__1.C,1.C
8c74__1__1.A__1.C,1.C
8c9d__1__1.A__1.D,1.D
8c9e__1__1.A__1.C,1.C
8caa__1__1.B__1.F,1.F
8cbh__1__1.A__1.C,1.C
8cbr__1__1.A_1.B_1.D__1.E,1.E
8cbs__1__1.B_1.C_1.D__1.L,1.L
8cbu__1__1.A_1.B_1.D__1.M,1.M
8cdw__1__1.B__1.D,1.D
8ce3__1__1.A_1.B__1.E,1.E
8ceq__1__1.A__1.C,1.C
8ces__1__1.A__1.C,1.C
8cev__1__1.A__1.C,1.C
8cex__1__1.A__1.D,1.D
8cey__1__1.A__1.D,1.D
8cfb__1__1.A__1.L,1.L
8cg0__1__1.D__1.IA,1.IA
8ch9__1__1.G__1.BB,1.BB
8chc__1__1.A__1.B,1.B
8chk__1__1.A__1.D,1.D
8cij__1__1.A__1.B,1.B
8cje__1__1.A__1.F,1.F
8cjg__1__1.A__1.D,1.D
8cju__1__1.A__1.B,1.B
8ck5__1__1.A__1.D,1.D
8ckc__1__2.A__2.D,2.D
8ckh__1__1.A_1.B__1.D,1.D
8clq__1__1.A__1.E,1.E
8cou__1__1.A__1.V,1.V
8cov__1__1.A__1.D,1.D
8cp7__1__1.A__1.B,1.B
8cpb__1__1.B__1.H,1.H
8crj__1__1.A__1.B,1.B
8crl__1__1.A__1.C,1.C
8cta__1__1.A_1.B_1.D__1.Q,1.Q
8cu7__1__1.A__1.C,1.C
8cyu__1__1.A_1.B__1.F,1.F
8cyz__1__1.A_1.C__1.E,1.E
8cz7__1__1.A_1.C__1.E,1.E
8d0e__1__1.B__1.D,1.D
8d0f__1__1.A_1.B__1.D,1.D
8d6c__1__1.A__1.F,1.F
8d6e__1__1.A__1.D,1.D
8d6f__1__1.A__1.D,1.D
8d6m__1__1.A__1.C,1.C
8d6t__1__1.A__1.C,1.C
8db0__1__1.A__1.E,1.E
8deg__1__1.A__1.B,1.B
8dhw__1__1.B_2.B__2.I,2.I
8dk4__1__1.A__1.C,1.C
8dml__1__1.B__1.J,1.J
8dmt__1__1.A__1.E,1.E
8dqd__1__1.A__1.B,1.B
8dsc__1__1.B__1.L,1.L
8dsh__1__1.A_1.B__1.C,1.C
8dsm__1__1.A_1.B__1.J,1.J
8dsr__1__1.A__1.C,1.C
8du3__1__1.A__1.B,1.B
8du6__1__1.B__1.D,1.D
8du8__1__1.A__1.C,1.C
8du9__1__1.B__1.D,1.D
8dub__1__1.A__1.C,1.C
8duh__1__1.A__1.C,1.C
8dui__1__1.A__1.C,1.C
8duk__1__1.A__1.E,1.E
8dv7__1__1.B__1.D,1.D
8dv8__1__1.A__1.C,1.C
8dxk__1__1.A_1.B__1.C,1.C
8e0h__1__1.A__1.C,1.C
8e0t__1__1.C__1.F,1.F
8e1o__1__1.A__1.D,1.D
8e1t__1__1.A__1.D,1.D
8e1x__1__1.A__1.C,1.C
8e5m__1__1.A_1.E__1.U,1.U
8e80__1__1.A__1.B,1.B
8e81__1__1.A__1.B,1.B
8ea6__1__1.A_1.B__1.C,1.C
8efj__1__1.A__1.D,1.D
8egz__1__1.B__1.I,1.I
8emu__1__1.A__1.E,1.E
8eni__1__2.A__2.B,2.B
8eq9__1__1.A__1.B,1.B
8eqz__1__1.A__1.C,1.C
8erb__1__1.A_1.C__1.Q,1.Q
8erd__1__1.A__1.B,1.B
8erj__1__1.A_2.C__1.I,1.I
8et0__1__1.B__1.L,1.L
8etl__1__1.A__1.C,1.C
8ex1__1__1.A__1.B,1.B
8ex2__1__1.A__1.B,1.B
8exl__1__1.A__1.B,1.B
8exu__1__1.A__1.B,1.B
8ez1__1__1.A_1.B__1.D,1.D
8f1g__1__1.A__1.C,1.C
8f1z__1__1.A__1.B,1.B
8f4q__1__1.A__1.F,1.F
8f8e__1__1.A__1.C,1.C
8f8m__1__1.A__1.C,1.C
8fb1__1__1.A__1.C,1.C
8fb1__1__1.A__1.D,1.D
8fcd__1__1.A_1.B__1.C,1.C
8fe6__1__1.A__1.I,1.I
8fe8__1__1.A_1.B__1.C,1.C
8fe9__1__1.A__1.B,1.B
8fgz__1__1.A__1.B,1.B
8fh4__1__1.A__1.E,1.E
8fjz__1__1.C__1.I,1.I
8fko__1__1.C__1.I,1.I
8fly__1__1.A__1.K,1.K
8flz__1__1.A__1.K,1.K
8fm0__1__1.A__1.K,1.K
8fm2__1__1.A__1.K,1.K
8fm3__1__1.A__1.K,1.K
8fm4__1__1.A__1.K,1.K
8fm5__1__1.A__1.K,1.K
8fm7__1__1.A__1.K,1.K
8fm8__1__1.A__1.K,1.K
8fo5__1__1.A_1.B__1.E,1.E
8fp1__1__1.A__1.B,1.B
8ftr__1__2.A__2.B,2.B
8fwz__1__1.B__1.E,1.E
8fx1__1__1.A__1.C,1.C
8fx2__1__1.B__1.D,1.D
8fx3__1__1.B__1.D,1.D
8fxn__1__1.A__1.B,1.B
8fy7__1__1.A_1.B__1.C,1.C
8g3e__1__1.A__1.C,1.C
8g3s__1__1.A__1.E,1.E
8g4a__1__1.A_1.B__1.C,1.C
8g63__1__1.A__1.B,1.B
8g68__1__1.A__1.C,1.C
8g69__1__1.A__1.C,1.C
8g8o__1__1.B__1.E,1.E
8g8x__1__1.A__1.C,1.C
8g9d__1__1.A__1.B,1.B
8gcz__1__1.A__1.N,1.N
8gdk__1__1.A__1.O,1.O
8gds__1__1.A__1.E,1.E
8gem__1__1.A__1.B,1.B
8gen__1__2.A_3.A__3.B,3.B
8get__1__1.C__1.M,1.M
8geu__1__1.A__1.B,1.B
8gev__1__1.A__1.B,1.B
8gez__1__1.A__1.B,1.B
8gf0__1__1.A__1.B,1.B
8gfd__1__1.A__1.B,1.B
8gff__1__1.A__1.B,1.B
8gfg__1__1.A__1.B,1.B
8gfq__1__1.A__1.B,1.B
8gfs__1__1.A__1.B,1.B
8gkf__1__1.A__1.J,1.J
8gkt__1__1.A_1.B__1.E,1.E
8gm5__1__1.A__1.D,1.D
8gne__1__1.A__1.B,1.B
8gne__1__1.A__1.E,1.E
8goy__1__1.A_1.B__1.E,1.E
8gtg__1__1.A__1.C,1.C
8gti__1__1.A__1.H,1.H
8gtm__1__1.A__1.C,1.C
8gtv__1__1.A_2.B__2.D,2.D
8gu1__1__1.A_1.B__1.D,1.D
8gvj__1__1.A__1.B,1.B
8gww__1__1.A__1.C,1.C
8gyd__1__1.A_1.B__1.K,1.K
8gzc__1__1.A__1.F,1.F
8h4q__1__1.A__1.C,1.C
8h59__1__1.A__1.B,1.B
8h7r__1__1.A__1.B,1.B
8haq__1__1.A__1.C,1.C
8hch__1__1.C__1.J,1.J
8hd3__1__1.A__1.C,1.C
8hf8__1__1.A__1.C,1.C
8hlj__1__1.A__1.C,1.C
8hms__1__1.A__1.E,1.E
8ho5__1__1.A__1.B,1.B
8hpc__1__1.A_1.H__1.P,1.P
8hul__1__1.A__1.C,1.C
8hum__1__1.A__1.C,1.C
8huu__1__1.A__1.C,1.C
8hx6__1__1.B__1.F,1.F
8i0d__1__1.A__1.B,1.B
8i1o__1__1.A__1.F,1.F
8i2n__1__1.A__1.C,1.C
8i4i__1__1.A__1.C,1.C
8ie5__1__1.A__1.B,1.B
8ie6__1__1.A__1.B,1.B
8in7__1__1.A__1.B,1.B
8iqn__1__1.A__1.B,1.B
8iqt__1__1.A__1.B,1.B
8iqu__1__1.A__1.B,1.B
8iui__1__1.A__1.C,1.C
8ivn__1__1.A_1.B__1.C,1.C
8ivr__1__1.A__1.B,1.B
8ivs__1__1.A_1.B__1.C,1.C
8ivt__1__1.A_1.B__1.F,1.F
8ivu__1__1.A_1.B__1.I,1.I
8iw3__1__1.A_1.B__1.C,1.C
8iw6__1__1.A_1.B__1.F,1.F
8ixq__1__1.B__1.E,1.E
8izc__1__1.A_1.B__1.I,1.I
8j30__1__1.A__1.C,1.C
8j40__1__1.A_2.A__1.D,1.D
8j5e__1__1.A__1.B,1.B
8j5f__1__2.A__2.B,2.B
8j5x__1__1.A__1.B,1.B
8j6n__1__1.A_1.D__1.M,1.M
8j7j__1__1.A_1.B__1.C,1.C
8jb3__1__1.A__1.B,1.B
8jby__1__1.A__1.C,1.C
8jg8__1__1.A__1.B,1.B
8jjq__1__1.A__1.D,1.D
8jjt__1__1.A__1.D,1.D
8jmo__1__1.A__1.D,1.D
8jmp__1__1.A__1.D,1.D
8jot__1__1.A__1.B,1.B
8jqz__1__1.A_2.B__1.C,1.C
8jt3__1__1.A_1.C__1.E,1.E
8ju9__1__1.A_2.A_4.A__1.B,1.B
8jub__1__1.A_1.B_1.D__1.E,1.E
8jwy__1__1.A__1.B,1.B
8jya__1__1.B__1.G,1.G
8jyc__1__1.A_1.B_1.C__1.T,1.T
8jye__1__1.A_1.B_1.D__1.P,1.P
8jyf__1__1.B__1.F,1.F
8k2k__1__1.A__1.B,1.B
8k2m__1__1.A__1.B,1.B
8k4c__1__1.B__1.G,1.G
8k5y__1__1.A__1.H,1.H
8ki5__1__1.A__1.B,1.B
8og5__1__1.A__1.D,1.D
8og8__1__1.A__1.B,1.B
8og9__1__1.A__1.B,1.B
8oiz__1__1.B__1.J,1.J
8oku__1__1.A_1.B__1.C,1.C
8ol4__1__1.B_1.C__1.P,1.P
8ome__1__1.A_1.D__1.E,1.E
8onn__1__1.A__1.F,1.F
8ooj__1__1.B__1.H,1.H
8oov__1__1.A_1.B__1.D,1.D
8opu__1__1.A_1.C_1.D__1.IA,1.IA
8opv__1__1.B__1.Q,1.Q
8oqm__1__1.B__1.N,1.N
8oqn__1__1.A_1.D__1.I,1.I
8oqp__1__1.D__1.PA,1.PA
8oqq__1__1.A__1.I,1.I
8oqs__1__1.C_1.D__1.OA,1.OA
8oqv__1__1.B__1.Q,1.Q
8orc__1__1.B__1.J,1.J
8oru__1__1.A_1.B__1.M,1.M
8otv__1__1.A_1.B__1.F,1.F
8ou2__1__1.A__1.C,1.C
8ou3__1__1.A_1.C__1.E,1.E
8ou5__1__1.A_1.C__1.E,1.E
8ouu__1__1.A__1.F,1.F
8ov7__1__1.A__1.B,1.B
8ovr__1__1.A__1.B,1.B
8ow7__1__1.A_1.C__1.G,1.G
8ow9__1__1.A_1.B__1.G,1.G
8p0e__1__1.A__1.C,1.C
8p0m__1__1.C__1.L,1.L
8p0p__1__1.A__1.C,1.C
8p1e__1__1.D_1.E__1.P,1.P
8p1p__1__1.A__1.E,1.E
8p3e__1__1.B__1.F,1.F
8p44__1__1.A_1.B__1.E,1.E
8p4z__1__1.A__1.C,1.C
8p5c__1__1.A_1.B__1.C,1.C
8paf__1__1.A_1.B__1.C,1.C
8pbo__1__1.A__1.C,1.C
8pfl__1__1.A__1.C,1.C
8pj0__1__1.A_1.B__1.V,1.V
8pj7__1__1.A__1.B,1.B
8pji__1__1.A__1.E,1.E
8pl6__1__1.A__1.C,1.C
8plb__1__1.A__1.D,1.D
8ple__1__1.A__1.F,1.F
8plp__1__2.B__2.F,2.F
8plu__1__1.A__1.D,1.D
8plw__1__2.B__2.G,2.G
8plx__1__2.B__2.F,2.F
8pom__1__1.A__1.C,1.C
8pp0__1__1.A__1.C,1.C
8pp8__1__1.A__1.D,1.D
8ppf__1__1.A__1.D,1.D
8pq9__1__1.A__1.C,1.C
8pqa__1__1.A__1.C,1.C
8pqf__1__1.A__1.C,1.C
8pqq__1__1.B_1.D__1.J,1.J
8pqr__1__1.A_1.B_1.C__1.E,1.E
8px2__1__1.A__1.B,1.B
8px8__1__1.A__1.D,1.D
8pxt__1__1.C__1.L,1.L
8pyi__1__1.A__1.I,1.I
8pyn__1__1.A__1.B,1.B
8q0t__1__1.A__1.C,1.C
8q0u__1__1.A__1.D,1.D
8q17__1__1.A__1.F,1.F
8q1m__1__1.A_1.B__1.G,1.G
8q2u__1__1.A__1.C,1.C
8q2w__1__1.A__1.C,1.C
8q2y__1__1.A__1.C,1.C
8q31__1__1.A__1.C,1.C
8q34__1__1.A__1.F,1.F
8qc4__1__1.A__1.C,1.C
8qdy__1__1.A_2.A__1.B,1.B
8qdz__1__1.A_2.A__2.B,2.B
8qe0__1__1.A_2.A__2.B,2.B
8qe1__1__1.A_2.A__1.B,1.B
8qe3__1__1.A_2.A__1.B,1.B
8qel__1__1.B__1.C,1.C
8qhq__1__1.A_1.B__1.G,1.G
8qk2__1__1.A__1.D,1.D
8qk5__1__1.A__1.D,1.D
8qk9__1__1.A__1.D,1.D
8qka__1__1.A__1.D,1.D
8qlr__1__1.B__1.F,1.F
8qnh__1__1.A__1.B,1.B
8qqg__1__1.A__1.D,1.D
8qqy__1__1.A__1.B,1.B
8qrt__1__1.B__1.F,1.F
8qtg__1__1.A__1.B,1.B
8qth__1__1.A__1.B,1.B
8qtj__1__1.A__1.E,1.E
8qtl__1__1.A_1.B__1.G,1.G
8qyq__1__1.A__1.H,1.H
8r0i__1__1.A_2.A__1.D,1.D
8r11__1__1.A_1.B__1.C,1.C
8r12__1__1.A_1.B__1.C,1.C
8r1n__1__1.A__1.C,1.C
8r1p__1__1.A_1.B__1.C,1.C
8r3d__1__1.B_1.E__1.J,1.J
8r42__1__1.B__1.Q,1.Q
8r4o__1__1.A__1.M,1.M
8r4u__1__1.A__1.I,1.I
8rcw__1__1.A__1.C,1.C
8rdk__1__1.A__1.D,1.D
8rkq__1__1.A__1.E,1.E
8s98__1__1.A__1.D,1.D
8se5__1__1.A_1.B__1.H,1.H
8se6__1__1.A_1.B__1.F,1.F
8sge__1__1.A__1.H,1.H
8sip__1__1.A_1.B__1.C,1.C
8six__1__1.A__1.B,1.B
8skn__1__1.A__1.C,1.C
8slg__1__1.A__1.C,1.C
8smf__1__1.B_1.E__1.I,1.I
8smg__1__1.B_2.A__1.C,1.C
8sua__1__1.A__1.B,1.B
8sv9__1__1.A__1.C,1.C
8swe__1__1.A__1.E,1.E
8swr__1__1.A_1.B__1.I,1.I
8sx2__1__1.A__1.C,1.C
8sx4__1__1.A__1.C,1.C
8sxy__1__1.A__1.C,1.C
8sye__1__1.A__1.C,1.C
8sz3__1__1.A_2.B__1.G,1.G
8sze__1__1.A__1.C,1.C
8t1y__1__1.A__1.B,1.B
8t27__1__1.A__1.B,1.B
8t9v__1__1.A__1.B,1.B
8tbs__1__1.A_1.B__1.M,1.M
8tbu__1__1.A_1.B__1.I,1.I
8tce__1__1.A__1.C,1.C
8tjc__1__1.A__1.K,1.K
8tl8__1__1.A__1.C,1.C
8tn6__1__1.A__1.D,1.D
8tnb__1__1.A_1.C__1.F,1.F
8tnc__1__1.B__1.E,1.E
8tnd__1__1.B__1.F,1.F
8tqv__1__1.A__1.C,1.C
8ts9__1__1.A__1.C,1.C
8tsa__1__1.A__1.C,1.C
8tsd__1__1.A__1.C,1.C
8tti__1__1.A__1.E,1.E
8ttz__1__2.B__2.GA,2.GA
8typ__1__1.A__1.C,1.C
8u2e__1__1.A__1.B,1.B
8u2r__1__1.A__1.C,1.C
8u37__1__1.A__1.B,1.B
8u4w__1__1.A__1.E,1.E
8u7w__1__1.A__1.C,1.C
8u7x__1__1.A__1.C,1.C
8u8j__1__1.A__1.B,1.B
8u8k__1__1.A__1.B,1.B
8u97__1__1.A__1.B,1.B
8uak__1__1.A__1.B,1.B
8ufp__1__1.A_1.B__1.K,1.K
8ug1__1__1.B__1.H,1.H
8ug3__1__1.A_1.B__1.C,1.C
8ujy__1__1.B__1.D,1.D
8uk6__1__1.A__1.C,1.C
8uob__1__1.A__1.B,1.B
8ur9__1__1.A_1.B__1.C,1.C
8usm__1__1.A__1.C,1.C
8uuf__1__1.A__1.B,1.B
8uuu__1__1.A__1.B,1.B
8uuv__1__1.A__1.B,1.B
8ux7__1__1.B__1.I,1.I
8v2k__1__1.C_1.D__1.N,1.N
8v4a__1__1.C_1.D__1.M,1.M
8v4p__1__1.A__1.L,1.L
8v5g__1__1.A__1.D,1.D
8v8e__1__1.A__1.D,1.D
8v8j__1__1.A__1.F,1.F
