system_id,proper_ligand_chain
7lr9__1__1.A__1.C,1.C
7lrk__1__1.A__1.C,1.C
7lro__1__1.A__1.D,1.D
7ltz__1__1.A__1.B_1.C,1.B
7lv3__1__1.A_1.B__1.C_1.D_1.E,1.E
7lxr__1__1.A__1.E_1.F,1.E
7lzr__1__1.A_1.B__1.H,1.H
7m0n__1__1.B__1.J_1.M_1.N,1.J
7m94__1__1.B__1.J,1.J
7m95__1__1.B__1.K,1.K
7m96__1__1.A__1.E,1.E
7m9g__1__1.A_1.B__1.E,1.E
7m9h__1__1.A_1.B__1.E,1.E
7m9r__1__1.A_1.B__1.C,1.C
7m9t__1__1.A_1.B__1.D,1.D
7m9v__1__1.A_1.B__1.C,1.C
7m9x__1__1.A_1.B__1.C,1.C
7ma0__1__1.A_1.B__1.I,1.I
7ma1__1__1.A_1.B__1.M,1.M
7ma2__1__1.A_1.B__1.E,1.E
7ma3__1__1.A_1.B__1.E,1.E
7ma4__1__1.A_1.B__1.D,1.D
7ma5__1__1.A_1.B__1.G,1.G
7ma7__1__1.A_1.B__1.E,1.E
7ma8__1__1.A_1.B__1.E,1.E
7maq__1__1.A_1.B__1.C,1.C
7mbw__1__1.A__1.E_1.F,1.E
7mcj__1__1.A__1.C_1.D,1.C
7mdp__1__1.A__1.D,1.D
7mgj__1__1.A__1.E,1.E
7mgk__1__1.A__1.E,1.E
7mgt__1__1.A__1.B_1.C_1.D,1.D
7mjd__1__1.B__1.S,1.S
7mkx__1__1.A__1.E,1.E
7mlo__1__1.A__1.C,1.C
7mlp__1__1.A__1.B,1.B
7mlt__1__1.A__1.W,1.W
7mmr__1__1.A_1.E__1.BA_1.CA_1.K,1.BA
7mnw__1__1.A__1.I_1.J,1.I
7mof__1__1.A__1.C,1.C
7mog__1__1.A__1.C,1.C
7msk__1__1.A__1.C_1.D,1.D
7mt4__1__2.A_2.B__2.C,2.C
7mu0__1__1.A__1.C_1.F,1.C
7mwn__1__1.A_1.B__1.C,1.C
7mxh__1__1.A__1.D,1.D
7mxk__1__1.A__1.B_1.C,1.C
7mxn__1__1.A__1.C,1.C
7my0__1__1.A__1.C_1.F_1.G,1.C
7myd__1__1.A__1.C_1.G,1.C
7myj__1__1.A__1.G,1.G
7n1r__1__1.A__1.P_1.Q_1.R,1.Q
7n4w__1__1.A__1.D,1.D
7n4z__1__1.A__1.F,1.F
7n53__1__1.A__1.D,1.D
7n54__1__1.B__1.H,1.H
7n8w__1__1.A_1.B__1.C_1.E,1.C
7n9d__1__1.A__1.D,1.D
7n9g__1__1.A__1.E_1.F,1.E
7nag__1__1.A__1.C,1.C
7nah__1__1.A__1.C,1.C
7nai__1__1.A__1.C,1.C
7nb3__1__1.A__1.C,1.C
7nb7__1__1.A__1.E,1.E
7nbt__1__1.A_2.A__1.C,1.C
7nbw__1__1.A_2.A__1.B,1.B
7ng1__1__2.A__2.C_2.D,2.C
7ngd__1__1.A__1.B,1.B
7ngg__1__2.A__2.B,2.B
7ngi__1__2.A__2.C,2.C
7ngj__1__1.A__1.B,1.B
7ngk__1__2.A__2.C,2.C
7ngm__1__2.A__2.B,2.B
7ngs__1__1.A__1.B,1.B
7ngw__1__2.A__2.B,2.B
7ngx__1__1.A__1.B,1.B
7ngy__1__2.A__2.B,2.B
7nlk__1__1.A__1.C_1.E,1.E
7nlm__1__1.A__1.B_1.C,1.B
7nlv__1__1.A_1.C__1.G,1.G
7nqw__1__1.A__1.D_1.E_1.F,1.F
7nr5__1__1.A__1.F,1.F
7nr6__1__1.B__1.H,1.H
7nr8__1__1.A__1.F_1.I,1.I
7nsn__1__1.A__1.J,1.J
7ntb__1__1.A__1.B_1.C,1.C
7ntz__1__1.A__1.B,1.B
7nud__1__1.B__1.D,1.D
7nue__1__1.A__1.C,1.C
7nwa__1__1.A_1.B__1.E,1.E
7nwc__1__1.A_1.B__1.G,1.G
7nxu__1__1.A__1.B_1.C_1.D,1.D
7nya__1__1.A_1.B__1.F,1.F
7nzn__1__1.A_2.A__1.B,1.B
7nzy__1__1.A__1.E,1.E
7o1b__1__1.A__1.E,1.E
7o2t__1__1.A_2.A__1.B,1.B
7o46__1__1.A_2.A__1.B,1.B
7o6x__1__1.A__1.E,1.E
7o7j__1__1.A__1.B,1.B
7o7k__1__1.A__1.E,1.E
7o9i__1__1.A__1.B,1.B
7oa1__1__1.A__1.D_1.H,1.H
7oa4__1__1.A__1.E_1.F_1.H_1.I,1.E
7oat__1__1.B__1.F_1.G,1.F
7ocp__1__1.B__1.J_1.K,1.J
7ocs__1__1.D__1.BB,1.BB
7odn__1__1.A_1.B__1.J,1.J
7oed__1__1.A__1.C,1.C
7of8__1__1.A__1.B,1.B
7ofa__1__1.A__1.B_1.C,1.B
7ohg__1__1.A__1.B_1.D_1.E_1.F,1.B
7oj6__1__1.A_1.C__1.Y,1.Y
7ojq__1__1.A_1.C__1.F,1.F
7ojw__1__1.A_1.C__1.F,1.F
7ojy__1__1.A_1.B__1.D,1.D
7ok1__1__1.A_1.B__1.D,1.D
7ok8__1__1.A__1.B_1.C_1.D,1.D
7okc__1__1.A_2.A__2.B,2.B
7oli__1__1.A__1.C,1.C
7olj__1__1.A_1.B__1.E,1.E
7oll__1__1.A_2.A__2.B_2.C_2.D,2.C
7om1__1__1.A_1.B__1.E,1.E
7omd__1__1.A__1.C_1.D,1.C
7ome__1__1.A__1.B,1.B
7omo__1__1.A__1.C,1.C
7omr__1__1.A__1.B,1.B
7on9__1__1.A__1.E_1.F,1.E
7onf__1__1.A_2.A__1.C,1.C
7opm__1__1.A__1.D,1.D
7oq6__1__1.B__1.H_1.J,1.H
7orq__1__1.A__1.B_1.C_1.D,1.D
7osx__1__1.A__1.C,1.C
7ou8__1__1.A__1.C,1.C
7oum__1__1.A__1.K,1.K
7ouw__1__1.A__1.C,1.C
7ouy__1__1.A_1.B__1.M_1.N,1.M
7ovd__1__1.A__1.B,1.B
7oy5__1__1.A__1.C,1.C
7oyf__1__1.A_1.B__1.C_1.D_1.E_1.F_1.S,1.F
7oze__1__1.A__1.E_1.F,1.E
7p0h__1__1.C__1.V_1.W,1.V
7p0x__1__1.A_1.B__1.D_1.G,1.D
7p1a__1__1.A__1.B_1.D,1.D
7p1e__1__1.A__1.C_1.G,1.C
7p1f__1__1.A__1.C,1.C
7p1o__1__1.A__1.D,1.D
7p1s__1__1.A__1.E,1.E
7p1u__1__1.A__1.C_1.D,1.C
7p2t__1__1.A__1.E_1.H,1.H
7p3b__1__1.A__1.C_1.D_1.E,1.C
7p3v__1__1.B__1.D,1.D
7p4c__1__1.A__1.E_1.F,1.F
7p4v__1__1.A_3.A__1.B,1.B
7p5e__1__1.A__1.B_1.D,1.D
7p5f__1__1.A__1.C,1.C
7p5i__1__1.A__1.D,1.D
7p5k__1__1.A__1.C,1.C
7p5n__1__1.A__1.C,1.C
7p5p__1__1.A__1.D,1.D
7p84__1__1.A_1.B__1.E_1.F_1.G_1.H,1.H
7p8m__1__1.A_1.B__1.E_1.F_1.G_1.H,1.H
7p97__1__1.A__1.C_1.D_1.E,1.C
7pa1__1__1.A__1.D,1.D
7paw__1__1.B__1.C,1.C
7pcc__1__1.A_1.B__1.C_1.I,1.C
7pcs__1__1.B__1.G_1.H,1.G
7pd6__1__1.A_1.B__1.K,1.K
7pdb__1__1.C_1.D__1.H,1.H
7pdr__1__1.A_1.E__1.I,1.I
7pdt__1__1.A__1.E,1.E
7pe4__1__1.A__1.B_1.C,1.B
7pe5__1__1.D_1.E__1.I,1.I
7pe6__1__1.A_1.B__1.F,1.F
7pfm__1__1.A_1.B__1.C,1.C
7pfs__1__1.B__1.AA_1.W,1.W
7phe__1__1.A__1.C,1.C
7phj__1__1.A__1.B_1.C,1.C
7phn__1__1.A__1.B_1.C,1.C
7pi1__1__1.A__1.F,1.F
7pj9__1__1.A__1.C,1.C
7pjk__1__1.A__1.E,1.E
7plf__1__1.A__1.C_1.D,1.D
7pn9__1__1.A__1.B_1.C,1.B
7pom__1__1.C__1.I_1.J,1.J
7poo__1__1.A_1.B__1.G,1.G
7pox__1__1.A__1.C,1.C
7ppg__1__1.A_1.B__1.E_1.G_1.H,1.G
7pph__1__1.A_1.B__1.H_1.J,1.H
7ppq__1__1.B__1.H,1.H
7ppy__1__1.A_1.B__1.E_1.F,1.E
7pqs__1__1.A__1.C,1.C
7pqv__1__1.A__1.B,1.B
7pri__1__1.A__1.C_1.F,1.F
7psc__1__1.A_1.B__1.C_1.D,1.C
7pu8__1__1.A_1.B__1.H,1.H
7puc__1__1.C_1.D__1.I,1.I
7puq__1__1.C_1.D__1.K,1.K
7put__1__1.A__1.I,1.I
7puw__1__1.B__1.G_1.H,1.H
7pv6__1__1.A_1.B__1.E_1.H,1.E
7pvn__1__1.A__1.C_1.H_1.J,1.C
7pwd__1__1.A__1.D,1.D
7pwu__1__1.A__1.C,1.C
7pwy__1__1.A_1.B__1.I_1.J,1.J
7px0__1__1.B__1.T_1.W,1.T
7pz1__1__1.A__1.D,1.D
7pzu__1__1.A__1.B_1.C,1.C
7pzv__1__1.A__1.B_1.C,1.C
7q29__1__1.A__1.G_1.I_1.J_1.O,1.I
7q2o__1__1.A_1.B__1.D,1.D
7q4f__1__1.A_1.C__1.J,1.J
7q6f__1__1.A__1.C_1.D,1.C
7q6g__1__1.A__1.B_1.C,1.B
7q6v__1__1.A__1.E,1.E
7q6w__1__1.A__1.E,1.E
7q7c__1__1.A__1.B_1.C,1.C
7q7i__1__1.A__1.B,1.B
7q7k__1__1.A__1.B,1.B
7q7t__1__1.A_2.A__2.C,2.C
7q7v__1__1.A_2.A__2.B,2.B
7q8k__1__1.A__1.C_1.F_1.H,1.C
7q8q__1__1.A__1.C_1.E_1.J,1.C
7q8z__1__1.A__1.E,1.E
7q90__1__1.A__1.D,1.D
7qa3__1__1.A__1.C,1.C
7qaa__1__1.B__1.D,1.D
7qan__1__1.A__1.C_1.D,1.C
7qdt__1__1.A__1.B,1.B
7qea__1__1.A__1.C,1.C
7qei__1__1.A__1.B,1.B
7qfe__1__1.A__1.D,1.D
7qfo__1__1.A_2.A__1.C_1.D,1.C
7qg1__1__1.A__1.C,1.C
7qg3__1__1.A__1.C,1.C
7qg5__1__1.A__1.C,1.C
7qgm__1__2.A__2.B_2.C_2.E,2.E
7qgt__1__1.B__1.F,1.F
7qgz__1__1.A__1.B_1.C,1.C
7qh1__1__1.A__1.E_1.F,1.F
7qhd__1__1.A__1.J_1.P,1.J
7qhe__1__1.A__1.I,1.I
7qhl__1__1.A__1.E,1.E
7qhz__1__1.A__1.B,1.B
7qi0__1__1.A__1.C,1.C
7qk0__1__1.A_2.A__1.B_2.E,1.B
7qnh__1__1.B__1.E_1.F,1.E
7qnn__1__1.A__1.C,1.C
7qoz__1__1.B__1.L_1.M,1.L
7qqa__1__1.A_1.B__1.H_1.I,1.H
7qrb__1__1.A__1.G,1.G
7qrc__1__1.A__1.D,1.D
7qrk__1__1.A__1.B_1.C_1.D,1.D
7qt2__1__1.A_1.B__1.E,1.E
7qt6__1__1.A__1.B,1.B
7qty__1__1.A__1.C,1.C
7qv8__1__1.A__1.C_1.D,1.D
7qy9__1__1.A__1.C,1.C
7qyn__1__1.B__1.O,1.O
7r02__1__1.B__1.L,1.L
7r0a__1__1.A__1.C,1.C
7r0d__1__1.A_1.B__1.E_1.F,1.E
7r26__1__1.A__1.B,1.B
7r2v__1__1.A__1.C_1.D,1.C
7r2y__1__1.A_1.C__1.G_1.H,1.G
7r4a__1__1.A__1.C,1.C
7r4m__1__1.A_2.A__1.B_1.C,1.B
7r5d__1__1.A__1.C,1.C
7r6g__1__1.A__1.C,1.C
7r6z__1__1.A__1.C_1.E_1.F,1.C
7r7e__1__1.A__1.C_1.D_1.F,1.C
7r7l__1__1.A__1.C,1.C
7r7r__1__1.A__1.B,1.B
7r9n__1__1.B__1.E,1.E
7r9p__1__1.A__1.C,1.C
7r9t__1__1.A__1.C,1.C
7rae__1__1.A__1.C,1.C
7raf__1__1.A__1.C,1.C
7rbw__1__1.A__1.C,1.C
7rc9__1__1.A_1.B__1.X,1.X
7rck__1__1.A__1.C_1.D,1.C
7rdp__1__1.A__1.B,1.B
7rf9__1__1.A_1.B__1.G,1.G
7rh1__1__1.A__1.D,1.D
7rh3__1__1.A__1.C,1.C
7rh4__1__1.A__1.C,1.C
7rke__1__1.A__1.E,1.E
7rl2__1__1.A__1.C,1.C
7rls__1__1.A_2.A__2.B,2.B
7rmb__1__1.A_2.A__2.B,2.B
7rmw__1__1.A__1.G,1.G
7rn4__1__1.A_2.A__2.B,2.B
7rnk__1__1.A_2.A__2.B,2.B
7rnm__1__1.B__1.F,1.F
7rnp__1__1.A__1.E,1.E
7rof__1__1.A__1.E,1.E
7ror__1__1.A__1.C_1.D,1.C
7ros__1__1.A__1.C,1.C
7rq0__1__1.A_1.B__1.L,1.L
7rrb__1__1.A__1.C,1.C
7rrc__1__1.A__1.C,1.C
7rre__1__1.A__1.B_1.C_1.D,1.B
7rsp__1__1.A__1.C_1.D,1.D
7rst__1__1.A__1.E_1.F,1.F
7rsv__1__1.A__1.C_1.D,1.C
7rwe__1__1.A__1.B,1.B
7rwf__1__1.A__1.C,1.C
7rxo__1__1.A__1.C,1.C
7s14__1__1.A_1.B__1.E_1.K,1.E
7s1c__1__1.A__1.C,1.C
7s1d__1__1.A__1.C,1.C
7s6u__1__1.A__1.B,1.B
7s6v__1__1.A__1.B,1.B
7s7t__1__1.A__1.B,1.B
7s7x__1__1.A__1.D,1.D
7s84__1__1.A__1.B,1.B
7sa0__1__1.A__1.F,1.F
7scr__1__1.E__1.K,1.K
7scw__1__1.A_1.B__1.C_1.D,1.D
7sdd__1__2.A__2.B,2.B
7sdr__1__1.A__1.D,1.D
7se9__1__1.A__1.C_1.D,1.C
7sec__1__1.A__1.D_1.G,1.D
7sel__1__1.A__1.C,1.C
7sez__1__1.A__1.B,1.B
7sfo__1__1.A__1.E,1.E
7sgg__1__1.A__1.B_1.D,1.B
7sgi__1__1.A__1.B_1.C,1.B
7sgj__1__1.A__1.B_1.E,1.B
7sgk__1__1.A__1.B_1.C,1.B
7sh0__1__1.A__1.C_1.D_1.H,1.D
7sh1__1__1.A__1.C_1.J,1.C
7shh__1__1.A__1.E,1.E
7si4__1__1.A__1.B,1.B
7si5__1__1.A__1.D,1.D
7sia__1__1.A_1.B__1.C,1.C
7siu__1__1.A__1.C,1.C
7sj2__1__1.A__1.K_1.M,1.M
7slr__1__1.A_1.B__1.C,1.C
7sls__1__1.A_1.B__1.C,1.C
7slz__1__1.A__1.B,1.B
7snz__1__1.A_1.B__1.C,1.C
7so1__1__1.A_1.B__1.C,1.C
7sok__1__1.A__1.E,1.E
7spy__1__1.A_2.A__2.B_2.C,2.B
7sqe__1__1.A__1.D,1.D
7sqm__1__1.A__1.B,1.B
7ssj__1__1.A__1.G_1.H,1.G
7suf__1__1.A__1.B_1.D,1.B
7sv1__1__1.A__1.C_1.D,1.D
7sv5__1__1.A__1.C_1.D,1.D
7sxg__1__1.A__1.C,1.C
7sxj__1__1.A__1.C,1.C
7sz3__1__1.B__1.I,1.I
7sza__1__1.A__1.E,1.E
7szb__1__1.A__1.E,1.E
7szc__1__1.A__1.F,1.F
7szp__1__1.A_1.B__1.E_1.J,1.E
7szr__1__1.A__1.G,1.G
7t0a__1__1.A_1.B__1.BA_1.CA_1.GA_1.HA,1.GA
7t0c__1__1.A_1.B__1.VA,1.VA
7t0f__1__1.A_1.B__1.C,1.C
7t1d__1__1.A_1.B__1.G_1.I,1.I
7t39__1__1.A__1.B,1.B
7t4t__1__1.A__1.C_1.E,1.C
7t5k__1__1.A__1.D,1.D
7t5x__1__1.A_1.C__1.I,1.I
7t5y__1__1.B__1.G,1.G
7t5z__1__1.A_1.C__1.I,1.I
7t60__1__1.B_1.C__1.M,1.M
7t61__1__1.B_1.C__1.L,1.L
7t6c__1__1.A__1.E,1.E
7t7m__1__1.A__1.I,1.I
7t9r__1__1.A__1.F,1.F
7tab__1__1.A__1.B,1.B
7taz__1__1.A__1.C,1.C
7tba__1__1.A__1.U_1.V_1.W,1.U
7tbc__1__1.A__1.B_1.J_1.L_1.S,1.S
7tbd__1__1.A__1.E,1.E
7tbu__1__1.A__1.D,1.D
7td8__1__1.A_1.B__1.AA_1.W,1.AA
7te8__1__1.A_1.B__1.E,1.E
7tem__1__1.A__1.C_1.G,1.C
7tev__1__1.A_2.A__2.D,2.D
7tgk__1__1.A__1.Q_1.R_1.S,1.Q
7tgl__1__1.B__1.R_1.S_1.U_1.W_1.X,1.S
7tjo__1__1.A__1.E,1.E
7tm5__1__1.A__1.C_1.D_1.E,1.C
7tmf__1__1.A_1.B__1.J_1.P,1.J
7tmz__1__1.A_1.B__1.V_1.Z,1.Z
7toc__1__1.A_1.B__1.C_1.D_1.G_1.L,1.C
7tt8__1__1.A__1.C,1.C
7ttp__1__1.A__1.B_1.C,1.B
7tuo__1__1.A__1.B,1.B
7twu__1__1.B__1.N,1.N
7twz__1__1.A__1.G_1.K,1.G
7txh__1__1.A__1.G_1.H_1.I,1.G
7txk__1__1.A__1.C,1.C
7txp__1__1.A_2.A__2.B,2.B
7tz7__1__1.A__1.C,1.C
7tzb__1__1.A__1.C,1.C
7u0t__1__1.A_1.B__1.H,1.H
7u1m__1__1.A__1.D,1.D
7u1u__1__1.A_2.A__1.B_1.D,1.D
7u2p__1__1.A_1.B__1.C_1.D,1.C
7u2z__1__1.A__1.C,1.C
7u30__1__1.A__1.I,1.I
7u31__1__1.A__1.D,1.D
7u3m__1__1.A__1.B_1.C,1.B
7u4g__1__4.A__4.E,4.E
7u4o__1__1.A__1.G,1.G
7u59__1__1.A__1.E_1.F,1.E
7u5z__1__1.A_1.B__1.C,1.C
7u64__1__1.A_1.B__1.S,1.S
7u6a__1__1.A__1.B_1.F,1.B
7u6b__1__1.A__1.B_1.E,1.B
7u70__1__1.A__1.C,1.C
7u8v__1__1.A__1.C,1.C
7u8w__1__1.A__1.C,1.C
7u8x__1__1.A__1.B,1.B
7u8z__1__1.A__1.F_1.G,1.F
7u91__1__1.A__1.C_1.D,1.C
7u98__1__1.A__1.E,1.E
7u99__1__1.A__1.B,1.B
7u9a__1__1.A__1.B,1.B
7u9u__1__2.A__2.C_2.D,2.C
7u9v__1__1.A_1.B__1.U_1.Y,1.Y
7uad__1__1.A__1.B,1.B
7uas__1__1.A__1.C,1.C
7uaw__1__1.A_1.B__1.C,1.C
7ubo__1__1.A__1.E,1.E
7ubr__1__1.A_1.B__1.AA_1.V_1.Z,1.Z
7ucy__1__1.A_1.B__1.U_1.Y,1.Y
7udg__1__1.A_1.B__1.U_1.X,1.X
7udh__1__1.A_1.B__1.U_1.Y,1.Y
7udq__1__1.A__1.C,1.C
7ue0__1__1.A_1.B__1.U_1.Y,1.Y
7ue4__1__1.A_2.A__2.F,2.F
7ue8__1__1.A_2.A__2.D,2.D
7ueo__1__1.A_2.A__2.B_2.C_2.E,2.C
7ueo__1__1.A_2.A__2.D,2.D
7ueu__1__1.A_2.A__2.B,2.B
7ueu__1__1.A_2.A__2.C_2.D_2.E,2.C
7uf0__1__1.A_2.A__1.B,1.B
7ug5__1__1.A__1.E,1.E
7ugb__1__1.A__1.C,1.C
7ugl__1__1.A__1.C,1.C
7ugl__1__1.A__1.D,1.D
7uh8__1__1.A_1.B__1.U_1.Y,1.Y
7uj4__1__1.A__1.C_1.D,1.C
7uj7__1__1.A__1.E,1.E
7uj8__1__1.A__1.C,1.C
7ujc__1__1.B__1.D,1.D
7uje__1__1.A_1.B__1.AA_1.W,1.AA
7ujf__1__1.A__1.E,1.E
7ujh__1__1.A_1.B__1.D,1.D
7ujk__1__1.A_1.B__1.V_1.Z,1.Z
7ujo__1__1.D__1.H,1.H
7ujy__1__1.B__1.F,1.F
7uk7__1__1.A__1.B_1.C_1.D_1.F,1.B
7uko__1__1.A_1.B__1.U_1.Y,1.Y
7ukp__1__1.A_1.B__1.S_1.V,1.V
7ukr__1__1.A__1.C,1.C
7ukt__1__1.A_1.B__1.U_1.Y,1.Y
7um4__1__1.A__1.I,1.I
7umo__1__1.A__1.G_1.I,1.G
7un0__1__1.A__1.G,1.G
7uor__1__1.A__1.G_1.H,1.G
7uoy__1__1.A__1.C_1.D_1.F,1.F
7uq1__1__1.A__1.B_1.D,1.B
7ur3__1__1.A__1.B,1.B
7ur9__1__1.A_1.B__1.D,1.D
7usg__1__1.A__1.B,1.B
7ush__1__1.A__1.B,1.B
7usi__1__1.A__1.G,1.G
7ut5__1__1.A__1.C,1.C
7utc__1__1.C_1.D__1.LA_1.MA_1.PA,1.MA
7uw2__1__1.A__1.C,1.C
7uw4__1__1.A__1.C,1.C
7uwp__1__1.A__1.C_1.D,1.C
7uy0__1__1.A__1.E,1.E
7v04__1__1.A__1.B_1.C_1.D,1.D
7v13__1__1.A__1.C,1.C
7v16__1__1.A__1.C,1.C
7v17__1__1.A__1.C,1.C
7v18__1__1.A__1.C,1.C
7v1o__1__1.A__1.D,1.D
7v1q__1__1.E__1.AA_1.BA,1.BA
7v3d__1__1.A_1.B__1.F,1.F
7v3s__1__1.A__1.B,1.B
7v41__1__1.A__1.B_1.C,1.C
7v62__1__1.C__1.M,1.M
7v6x__1__1.A__1.B_1.C,1.C
7va2__1__1.A__1.D_1.E,1.E
7vb3__1__1.A_1.B__1.R_1.T_1.U,1.R
7vbt__1__1.B__1.D,1.D
7vbv__1__1.B__1.N,1.N
7vdp__1__1.A__1.E_1.F,1.E
7vdq__1__1.A__1.E,1.E
7vdr__1__1.A__1.E_1.F_1.N,1.E
7vds__1__1.A__1.E,1.E
7vem__1__1.A_1.B__1.C_1.D,1.C
7vez__1__1.A_1.D__1.E,1.E
7vf6__1__1.B__1.H_1.J,1.J
7vhy__1__1.A__1.F,1.F
7vhz__1__1.A__1.F,1.F
7vi0__1__1.A__1.F,1.F
7vi7__1__1.A__1.C,1.C
7vjt__1__1.A__1.C,1.C
7vkg__1__1.A__1.B,1.B
7vkh__1__1.A__1.C,1.C
7vl0__1__1.A__1.C,1.C
7vl2__1__1.A__1.C,1.C
7vl3__1__1.A__1.C,1.C
7vl6__1__1.A__1.C,1.C
7vl7__1__1.A__1.C,1.C
7vm0__1__1.A__1.C_1.D,1.C
7vm7__1__1.A__1.B,1.B
7vmy__1__1.A__1.C_1.D_1.E,1.D
7vnh__1__1.A__1.C,1.C
7vns__1__1.A_2.A__2.C,2.C
7vo5__1__1.A__1.B,1.B
7vpe__1__1.A__1.B,1.B
7vpr__1__1.B__1.F,1.F
7vpu__1__1.A__1.E,1.E
7vqp__1__1.A__1.C,1.C
7vre__1__1.A__1.B,1.B
7vrh__1__1.A__1.D,1.D
7vsl__1__1.A__1.D,1.D
7vte__1__1.A__1.F,1.F
7vtf__1__1.A_1.B__1.F,1.F
7vtg__1__1.A__1.E,1.E
7vve__1__1.A__1.D_1.H,1.D
7vvt__1__1.A__1.C,1.C
7vwe__1__1.A__1.D,1.D
7vwg__1__1.A__1.D,1.D
7vwh__1__1.B__1.F,1.F
7vwt__1__1.B__1.H,1.H
7vx0__1__1.A__1.C_1.D,1.C
7vyj__1__1.B__1.DA_1.T_1.U,1.U
7w0g__1__1.B__1.D,1.D
7w1i__1__1.A__1.B,1.B
7w2d__1__1.B__1.R,1.R
7w2f__1__1.A__1.M,1.M
7w3p__1__1.A__1.C,1.C
7w3s__1__1.B_1.D__1.F,1.F
7w41__1__1.A__1.B,1.B
7w4x__1__1.A__1.C_1.D_1.E,1.E
7w4y__1__1.A__1.E,1.E
7w5h__1__1.A__1.C_1.F,1.C
7w6f__1__1.A_1.B__1.C,1.C
7w6z__1__1.A__1.B_1.C,1.C
7w78__1__1.A_2.A_2.B__2.C_2.D,2.D
7w79__1__1.A_1.B_2.A__1.C_1.F_1.G,1.C
7w9z__1__1.B__1.F_1.G,1.F
7wbs__1__1.A_1.B__1.D,1.D
7wc6__1__1.A__1.F,1.F
7wc7__1__1.A__1.M,1.M
7wc8__1__1.A__1.H,1.H
7wcf__1__1.A__1.B_1.C_1.D,1.B
7wcl__1__1.A__1.C,1.C
7wdt__1__1.A__1.B,1.B
7wdt__1__1.A__1.C,1.C
7wdu__1__1.A__1.C,1.C
7wew__1__1.A__1.K,1.K
7wf5__1__1.A__1.C,1.C
7wgl__1__1.A__1.D,1.D
7wgn__1__1.A__1.B,1.B
7wgo__1__1.A__1.C,1.C
7wgq__1__1.A__1.C,1.C
7wjs__1__1.A__1.D_1.G,1.D
7wlw__1__1.A__1.I,1.I
7wlx__1__1.A__1.C,1.C
7wmf__1__1.A__1.C_1.E,1.C
7wmh__1__1.A__1.C,1.C
7wmi__1__1.B__1.F_1.G,1.G
7wmj__1__1.A__1.C,1.C
7wmk__1__1.A__1.B_1.G,1.B
7wmo__1__1.A__1.C,1.C
7wqq__1__1.A__1.C,1.C
7wrg__1__1.A__1.C_1.D,1.C
7wrr__1__1.A_1.B__1.E_1.F_1.H,1.E
7wua__1__1.A__1.E_1.F_1.G,1.E
7wux__1__1.A_1.D__1.J,1.J
7x0b__1__1.A__1.C_1.E_1.N,1.E
7x11__1__1.D__1.P,1.P
7x2x__1__1.A__1.E_1.N,1.E
7x4u__1__1.A__1.B,1.B
7x5r__1__2.A__2.B_2.C_2.D,2.C
7x5w__1__2.A__2.B_2.C,2.C
7x5y__1__2.A__2.B_2.C_2.E,2.C
7x62__1__1.A__1.B_1.C_1.D,1.C
7x69__1__1.A__1.B_1.C,1.C
7x7x__1__1.A__1.C,1.C
7x81__1__1.A_1.B__1.D,1.D
7x86__1__1.A_1.C__1.G,1.G
7x9d__1__1.A__1.E,1.E
7x9l__1__1.A__1.C_1.E_1.F,1.C
7xaa__1__1.A__1.C_1.D_1.E,1.E
7xbb__1__1.A__1.C_1.D_1.E,1.E
7xbm__1__1.A__1.C_1.G,1.C
7xbt__1__1.A__1.B_1.C,1.B
7xbv__1__1.A__1.B,1.B
7xdv__1__1.A__1.C_1.D,1.C
7xdy__1__1.A__1.C_1.D,1.C
7xef__1__1.A__1.E,1.E
7xej__1__1.A_2.A__1.B,1.B
7xek__1__1.A_2.A__1.B,1.B
7xen__1__1.A_2.A__2.B,2.B
7xep__1__1.A_2.A__1.E,1.E
7xeq__1__1.A_2.A__2.D,2.D
7xes__1__1.A_2.A__2.D,2.D
7xet__1__1.A_2.A__1.B,1.B
7xf7__1__1.A__1.B,1.B
7xh6__1__1.A__1.E,1.E
7xhh__1__1.B__1.D,1.D
7xhq__1__1.A__1.C,1.C
7xhy__1__1.A__1.B_1.G,1.B
7xi7__1__1.A__1.B,1.B
7xih__1__2.A__2.C_2.D,2.C
7xis__1__1.A__1.B_1.C_1.D,1.D
7xj7__1__1.A__1.B_1.C_1.F,1.F
7xjv__1__1.A__1.E_1.F_1.G_1.H_1.I,1.F
7xk9__1__1.A__1.C,1.C
7xka__1__1.A__1.C,1.C
7xlp__1__1.A__1.B,1.B
7xm7__1__1.A__1.E,1.E
7xmk__1__1.A__1.D,1.D
7xnc__1__1.A__1.B,1.B
7xnt__1__1.C__1.I_1.J,1.J
7xoz__1__1.B__1.F,1.F
7xpo__1__1.B__1.H,1.H
7xpt__1__2.A__2.C_2.D,2.C
7xpu__1__2.A__2.C_2.D,2.C
7xpv__1__1.A__1.C_1.D,1.C
7xqv__1__1.A__1.D_1.E,1.D
7xqz__1__1.A__1.B_1.C_1.D,1.B
7xr7__1__1.A__1.B_1.C_1.D,1.B
7xrr__1__1.A__1.B,1.B
7xsv__1__1.A__1.B,1.B
7xua__1__1.B__1.N,1.N
7xub__1__1.A__1.H,1.H
7xuc__1__1.A__1.H,1.H
7xvh__1__2.A__2.B_2.C,2.C
7xvu__1__4.A__4.C,4.C
7xvv__1__3.A__3.C,3.C
